"DFNB51"	"1844024"	"1"	"1881400"	"6"	
"PNLIPRP3"	"1859997"	"1"	"1881401"	"8"	
"MED22"	"1847768"	"1"	"1881402"	"5"	
"TTTY2B"	"1858714"	"1"	"1881403"	"6"	
"DEFB116"	"1856822"	"1"	"1881404"	"7"	
"SNORD114-19"	"1874012"	"1"	"1881405"	"11"	
"GDNF"	"1858399"	"1"	"1881406"	"4"	
"VN1R40P"	"1856601"	"1"	"1881407"	"7"	
"MTBS1"	"1837804"	"1"	"1881408"	"5"	
"ANKRD46"	"1869389"	"1"	"1881409"	"7"	
"BAG6"	"1857179"	"1"	"1881410"	"4"	
"TRBV8-2"	"1837409"	"1"	"1881411"	"7"	
"LOC100419870"	"1869055"	"1"	"1881412"	"12"	
"LOC100653299"	"1866310"	"1"	"1881413"	"12"	
"SVIP"	"1860178"	"1"	"1881414"	"4"	
"SNORD116-10"	"1868420"	"1"	"1881415"	"11"	
"PCYT2"	"1858324"	"1"	"1881416"	"5"	
"LOC100132472"	"1857634"	"1"	"1881417"	"12"	
"XAGE1B"	"1847045"	"1"	"1881418"	"6"	
"RPL7P22"	"1868370"	"1"	"1881419"	"7"	
"LRRTM3"	"1867308"	"1"	"1881420"	"6"	
"FAM59A"	"1869075"	"1"	"1881421"	"6"	
"ANKRD20A15P"	"1845494"	"1"	"1881422"	"11"	
"CSAD"	"1853690"	"1"	"1881423"	"4"	
"PP12719"	"1860047"	"1"	"1881424"	"7"	
"LOC389842"	"1872846"	"1"	"1881425"	"9"	
"MMP15"	"1862699"	"1"	"1881426"	"5"	
"AUTS14"	"1842801"	"1"	"1881427"	"6"	
"ITFG2"	"1872783"	"1"	"1881428"	"5"	
"CMTDI2"	"1840177"	"1"	"1881429"	"6"	
"MIR603"	"1877413"	"1"	"1881430"	"6"	
"DEFB122"	"1865424"	"1"	"1881431"	"7"	
"C9ORF4"	"1871935"	"1"	"1881432"	"6"	
"KCNB2"	"1872875"	"1"	"1881433"	"5"	
"GYG2P1"	"1862809"	"1"	"1881434"	"6"	
"ETF1"	"1849879"	"1"	"1881435"	"4"	
"C2ORF27B"	"1859001"	"1"	"1881436"	"8"	
"NDUFS6"	"1861116"	"1"	"1881437"	"6"	
"BHMT2"	"1862691"	"1"	"1881438"	"5"	
"LDHAP7"	"1873847"	"1"	"1881439"	"6"	
"OMG"	"1862155"	"1"	"1881440"	"3"	
"BACE2-IT1"	"1855500"	"1"	"1881441"	"9"	
