GPL_ID	PROBE_NAME	GENE_SYMBOL	ENTREZ_ID	ORGANISM
GENE-EXPRESSION-1	NM_000758.2	CSF2	1437	Homo sapiens
GENE-EXPRESSION-1	NM_000395.2	CSF2RB	1439	Homo sapiens
GENE-EXPRESSION-1	NM_000759.3	CSF3	1440	Homo sapiens
GENE-EXPRESSION-1	NM_156038.2	CSF3R	1441	Homo sapiens
GENE-EXPRESSION-1	NM_001017417.1	CT45A1	541466	Homo sapiens
GENE-EXPRESSION-1	NM_001327.2	CTAG1B	1485	Homo sapiens
GENE-EXPRESSION-1	NM_172241.2	CTAGE1	64693	Homo sapiens
GENE-EXPRESSION-1	NM_001269042.1	CTCFL	140690	Homo sapiens
GENE-EXPRESSION-1	NM_005214.3	CTLA4	1493	Homo sapiens
GENE-EXPRESSION-1	NM_001911.2	CTSG	1511	Homo sapiens
GENE-EXPRESSION-1	NM_004390.3	CTSH	1512	Homo sapiens
GENE-EXPRESSION-1	NM_001912.4	CTSL	1514	Homo sapiens
GENE-EXPRESSION-1	NM_004079.3	CTSS	1520	Homo sapiens
GENE-EXPRESSION-1	NM_001335.3	CTSW	1521	Homo sapiens
GENE-EXPRESSION-1	NM_002996.3	CX3CL1	6376	Homo sapiens
GENE-EXPRESSION-1	NM_001337.3	CX3CR1	1524	Homo sapiens
GENE-EXPRESSION-1	NM_001511.1	CXCL1	2919	Homo sapiens
GENE-EXPRESSION-1	NM_001565.1	CXCL10	3627	Homo sapiens
GENE-EXPRESSION-1	NM_005409.4	CXCL11	6373	Homo sapiens
GENE-EXPRESSION-1	NM_000609.5	CXCL12	6387	Homo sapiens
GENE-EXPRESSION-1	NM_006419.2	CXCL13	10563	Homo sapiens
GENE-EXPRESSION-1	NM_004887.4	CXCL14	9547	Homo sapiens
GENE-EXPRESSION-1	NM_001100812.1	CXCL16	58191	Homo sapiens
GENE-EXPRESSION-1	NM_002089.3	CXCL2	2920	Homo sapiens
GENE-EXPRESSION-1	NM_002090.2	CXCL3	2921	Homo sapiens
GENE-EXPRESSION-1	NM_002994.3	CXCL5	6374	Homo sapiens
GENE-EXPRESSION-1	NM_002993.3	CXCL6	6372	Homo sapiens
GENE-EXPRESSION-1	NM_002416.1	CXCL9	4283	Homo sapiens
GENE-EXPRESSION-1	NM_000634.2	CXCR1	3577	Homo sapiens
GENE-EXPRESSION-1	NM_001557.2	CXCR2	3579	Homo sapiens
GENE-EXPRESSION-1	NM_001504.1	CXCR3	2833	Homo sapiens
GENE-EXPRESSION-1	NM_003467.2	CXCR4	7852	Homo sapiens
GENE-EXPRESSION-1	NM_001716.3	CXCR5	643	Homo sapiens
GENE-EXPRESSION-1	NM_006564.1	CXCR6	10663	Homo sapiens
GENE-EXPRESSION-1	NM_000397.3	CYBB	1536	Homo sapiens
GENE-EXPRESSION-1	NM_001037332.2	CYFIP2	26999	Homo sapiens
GENE-EXPRESSION-1	NM_015247.1	CYLD	1540	Homo sapiens
GENE-EXPRESSION-1	NM_018665.2	DDX43	55510	Homo sapiens
GENE-EXPRESSION-1	NM_014314.3	DDX58	23586	Homo sapiens
GENE-EXPRESSION-1	NM_005218.3	DEFB1	1672	Homo sapiens
GENE-EXPRESSION-1	NM_007329.2	DMBT1	1755	Homo sapiens
GENE-EXPRESSION-1	NM_001130048.1	DOCK9	23348	Homo sapiens
GENE-EXPRESSION-1	NM_001935.3	DPP4	1803	Homo sapiens
GENE-EXPRESSION-1	NM_057158.2	DUSP4	1846	Homo sapiens
GENE-EXPRESSION-1	NM_001946.2	DUSP6	1848	Homo sapiens
GENE-EXPRESSION-1	NM_005755.2	EBI3	10148	Homo sapiens
GENE-EXPRESSION-1	NM_001142464.2	ECSIT	51295	Homo sapiens
GENE-EXPRESSION-1	NM_001964.2	EGR1	1958	Homo sapiens
GENE-EXPRESSION-1	NM_000399.3	EGR2	1959	Homo sapiens
GENE-EXPRESSION-1	NM_001972.2	ELANE	1991	Homo sapiens
GENE-EXPRESSION-1	NM_005229.3	ELK1	2002	Homo sapiens
GENE-EXPRESSION-1	NM_001114753.1	ENG	2022	Homo sapiens
GENE-EXPRESSION-1	NM_001098175.1	ENTPD1	953	Homo sapiens
GENE-EXPRESSION-1	NM_005442.2	EOMES	8320	Homo sapiens
GENE-EXPRESSION-1	NM_001429.2	EP300	2033	Homo sapiens
GENE-EXPRESSION-1	NM_002354.1	EPCAM	4072	Homo sapiens
GENE-EXPRESSION-1	NM_005238.3	ETS1	2113	Homo sapiens
GENE-EXPRESSION-1	NM_013986.3	EWSR1	2130	Homo sapiens
GENE-EXPRESSION-1	NM_000505.3	F12	2161	Homo sapiens
GENE-EXPRESSION-1	NM_000129.3	F13A1	2162	Homo sapiens
GENE-EXPRESSION-1	NM_005242.3	F2RL1	2150	Homo sapiens
GENE-EXPRESSION-1	NM_003824.2	FADD	8772	Homo sapiens
GENE-EXPRESSION-1	NM_000043.3	FAS	355	Homo sapiens
GENE-EXPRESSION-1	NM_002001.2	FCER1A	2205	Homo sapiens
GENE-EXPRESSION-1	NM_004106.1	FCER1G	2207	Homo sapiens
GENE-EXPRESSION-1	NM_002002.4	FCER2	2208	Homo sapiens
GENE-EXPRESSION-1	NM_000566.3	FCGR1A	2209	Homo sapiens
GENE-EXPRESSION-1	NM_021642.3	FCGR2A	2212	Homo sapiens
GENE-EXPRESSION-1	NM_001002273.1	FCGR2B	2213	Homo sapiens
GENE-EXPRESSION-1	NM_000569.6	FCGR3A	2214	Homo sapiens
GENE-EXPRESSION-1	NM_005103.4	FEZ1	9638	Homo sapiens
GENE-EXPRESSION-1	NM_004119.1	FLT3	2322	Homo sapiens
GENE-EXPRESSION-1	NM_001459.3	FLT3LG	2323	Homo sapiens
GENE-EXPRESSION-1	NM_212482.1	FN1	2335	Homo sapiens
GENE-EXPRESSION-1	NM_005252.2	FOS	2353	Homo sapiens
GENE-EXPRESSION-1	NM_001454.3	FOXJ1	2302	Homo sapiens
GENE-EXPRESSION-1	NM_014009.3	FOXP3	50943	Homo sapiens
GENE-EXPRESSION-1	NM_001462.3	FPR2	2358	Homo sapiens
GENE-EXPRESSION-1	NM_002034.2	FUT5	2527	Homo sapiens
GENE-EXPRESSION-1	NM_004479.3	FUT7	2529	Homo sapiens
GENE-EXPRESSION-1	NM_002037.3	FYN	2534	Homo sapiens
GENE-EXPRESSION-1	NM_001040663.2	GAGE1	2543	Homo sapiens
GENE-EXPRESSION-1	NM_001002295.1	GATA3	2625	Homo sapiens
GENE-EXPRESSION-1	NM_006433.2	GNLY	10578	Homo sapiens
GENE-EXPRESSION-1	NM_000175.2	GPI	2821	Homo sapiens
GENE-EXPRESSION-1	NM_004951.3	GPR183	1880	Homo sapiens
GENE-EXPRESSION-1	NM_001520.3	GTF3C1	2975	Homo sapiens
GENE-EXPRESSION-1	NM_006144.2	GZMA	3001	Homo sapiens
GENE-EXPRESSION-1	NM_004131.3	GZMB	3002	Homo sapiens
GENE-EXPRESSION-1	NM_033423.3	GZMH	2999	Homo sapiens
GENE-EXPRESSION-1	NM_002104.2	GZMK	3003	Homo sapiens
GENE-EXPRESSION-1	NM_005317.2	GZMM	3004	Homo sapiens
GENE-EXPRESSION-1	NM_021175.2	HAMP	57817	Homo sapiens
GENE-EXPRESSION-1	NM_032782.3	HAVCR2	84868	Homo sapiens
GENE-EXPRESSION-1	NM_002110.2	HCK	3055	Homo sapiens
GENE-EXPRESSION-1	NM_002112.3	HDC	3067	Homo sapiens
GENE-EXPRESSION-1	NM_002116.5	HLA-A	3105	Homo sapiens
GENE-EXPRESSION-1	NM_005514.6	HLA-B	3106	Homo sapiens
GENE-EXPRESSION-1	NM_002117.4	HLA-C	3107	Homo sapiens
GENE-EXPRESSION-1	NM_006120.3	HLA-DMA	3108	Homo sapiens
GENE-EXPRESSION-1	NM_002118.3	HLA-DMB	3109	Homo sapiens
GENE-EXPRESSION-1	NM_002120.3	HLA-DOB	3112	Homo sapiens
GENE-EXPRESSION-1	NM_033554.2	HLA-DPA1	3113	Homo sapiens
GENE-EXPRESSION-1	NM_002121.4	HLA-DPB1	3115	Homo sapiens
GENE-EXPRESSION-1	NM_002122.3	HLA-DQA1	3117	Homo sapiens
GENE-EXPRESSION-1	NM_002123.3	HLA-DQB1	3119	Homo sapiens
GENE-EXPRESSION-1	NM_019111.3	HLA-DRA	3122	Homo sapiens
GENE-EXPRESSION-1	NM_002124.3	HLA-DRB1	3123	Homo sapiens
GENE-EXPRESSION-1	NM_022555.3	HLA-DRB3	3125	Homo sapiens
GENE-EXPRESSION-1	NM_021983.4	HLA-DRB4	3126	Homo sapiens
GENE-EXPRESSION-1	NM_005516.4	HLA-E	3133	Homo sapiens
GENE-EXPRESSION-1	NM_002127.4	HLA-G	3135	Homo sapiens
GENE-EXPRESSION-1	NM_002128.4	HMGB1	3146	Homo sapiens
GENE-EXPRESSION-1	NM_014485.2	HPGDS	27306	Homo sapiens
GENE-EXPRESSION-1	NM_005343.2	HRAS	3265	Homo sapiens
GENE-EXPRESSION-1	NM_181755.1	HSD11B1	3290	Homo sapiens
GENE-EXPRESSION-1	NM_000201.2	ICAM1	3383	Homo sapiens
GENE-EXPRESSION-1	NM_000873.3	ICAM2	3384	Homo sapiens
GENE-EXPRESSION-1	NM_002162.3	ICAM3	3385	Homo sapiens
GENE-EXPRESSION-1	NM_001039132.1	ICAM4	3386	Homo sapiens
GENE-EXPRESSION-1	NM_012092.2	ICOS	29851	Homo sapiens
GENE-EXPRESSION-1	NM_015259.4	ICOSLG	23308	Homo sapiens
GENE-EXPRESSION-1	NM_002164.3	IDO1	3620	Homo sapiens
GENE-EXPRESSION-1	NM_005531.1	IFI16	3428	Homo sapiens
GENE-EXPRESSION-1	NM_005532.3	IFI27	3429	Homo sapiens
GENE-EXPRESSION-1	NM_005533.3	IFI35	3430	Homo sapiens
GENE-EXPRESSION-1	NM_022168.2	IFIH1	64135	Homo sapiens
GENE-EXPRESSION-1	NM_001548.3	IFIT1	3434	Homo sapiens
GENE-EXPRESSION-1	NM_001547.4	IFIT2	3433	Homo sapiens
GENE-EXPRESSION-1	NM_003641.3	IFITM1	8519	Homo sapiens
GENE-EXPRESSION-1	NM_006435.2	IFITM2	10581	Homo sapiens
GENE-EXPRESSION-1	NM_024013.1	IFNA1	3439	Homo sapiens
GENE-EXPRESSION-1	NM_021268.2	IFNA17	3451	Homo sapiens
GENE-EXPRESSION-1	NM_000605.3	IFNA2	3440	Homo sapiens
GENE-EXPRESSION-1	NM_021057.2	IFNA7	3444	Homo sapiens
GENE-EXPRESSION-1	NM_002170.3	IFNA8	3445	Homo sapiens
GENE-EXPRESSION-1	NM_000629.2	IFNAR1	3454	Homo sapiens
GENE-EXPRESSION-1	NM_000874.3	IFNAR2	3455	Homo sapiens
GENE-EXPRESSION-1	NM_002176.2	IFNB1	3456	Homo sapiens
GENE-EXPRESSION-1	NM_000619.2	IFNG	3458	Homo sapiens
GENE-EXPRESSION-1	NM_000416.1	IFNGR1	3459	Homo sapiens
GENE-EXPRESSION-1	NM_172140.1	IFNL1	282618	Homo sapiens
GENE-EXPRESSION-1	NM_172138.1	IFNL2	282616	Homo sapiens
GENE-EXPRESSION-1	NM_000875.2	IGF1R	3480	Homo sapiens
